"utm10","especie"
"NB41","Suncus etruscus"
"MD85","Crocidura russula"
"NC62","Lutra lutra"
"NC98","Vulpes vulpes"
"ND31","Microtus cabrerae"
"PB06","Lepus granatensis"
"NC19","Vulpes vulpes"
"ND56","Arvicola sapidus"
"MD96","Sciurus vulgaris"
"NG83","Capra pyrenaica"
"NC36","Meles meles"
"PB07","Oryctolagus cuniculus"
"NC10","Microtus cabrerae"
"NC53","Apodemus sylvaticus"
"NB36","Mus spretus"
"PE57","Vulpes vulpes"
"PE66","Sus scrofa"
"PE78","Sus scrofa"
"PC08","Vulpes vulpes"
"NF71","Sorex granarius"
"NG24","Oryctolagus cuniculus"
"MD62","Lutra lutra"
"PD17","Microtus lusitanicus"
"ND00","Microtus lusitanicus"
"NC77","Microtus cabrerae"
"NB36","Microtus cabrerae"
"ND10","Herpestes ichneumon"
"NC71","Herpestes ichneumon"
"NG73","Capra pyrenaica"
"PC22","Herpestes ichneumon"
"PE86","Meles meles"
"NG82","Microtus agrestis"
"NF74","Oryctolagus cuniculus"
"ND71","Microtus lusitanicus"
"PG74","Martes foina"
"PB29","Erinaceus europaeus"
"PC19","Lepus granatensis"
"QF08","Microtus cabrerae"
"NC46","Suncus etruscus"
"NF36","Crocidura russula"
"NC36","Sus scrofa"
"NF83","Martes foina"
"PE58","Lepus granatensis"
"ND49","Sus scrofa"
"NB59","Oryctolagus cuniculus"
"PE38","Sus scrofa"
"NC36","Vulpes vulpes"
"PE26","Apodemus sylvaticus"
"PC51","Vulpes vulpes"
"NC46","Apodemus sylvaticus"
"MD82","Lutra lutra"
"PE58","Vulpes vulpes"
"PD44","Mus spretus"
"NG62","Apodemus sylvaticus"
"NC35","Vulpes vulpes"
"QF19","Apodemus sylvaticus"
"NE41","Sus scrofa"
"NG30","Crocidura russula"
"ND18","Sorex granarius"
"NC32","Oryctolagus cuniculus"
"PC71","Meles meles"
"PE66","Sorex minutus"
"PC39","Talpa occidentalis"
"MC97","Mus spretus"
"ND99","Sciurus vulgaris"
"NC35","Microtus cabrerae"
"NC77","Apodemus sylvaticus"
"QG10","Apodemus sylvaticus"
"NC57","Lutra lutra"
"QG04","Cervus elaphus"
"NC06","Mustela putorius"
"NB98","Oryctolagus cuniculus"
"NF45","Apodemus sylvaticus"
"PF18","Oryctolagus cuniculus"
"NF27","Mustela putorius"
"NC85","Mus spretus"
"NF66","Microtus agrestis"
"NG80","Microtus agrestis"
"ND49","Oryctolagus cuniculus"
